iter	Passed	Remaining
554	4493	3602
555	4500	3593
556	4508	3585
557	4514	3576
558	4522	3567
559	4528	3557
560	4534	3548
561	4541	3539
562	4547	3529
563	4558	3524
564	4566	3515
565	4572	3505
566	4578	3496
567	4586	3488
568	4592	3478
569	4601	3471
570	4608	3462
571	4616	3454
572	4622	3444
573	4628	3435
574	4636	3426
575	4642	3417
576	4650	3409
577	4655	3399
578	4662	3389
579	4668	3380
580	4674	3370
581	4681	3362
582	4687	3352
583	4694	3343
584	4700	3334
585	4707	3325
586	4714	3316
587	4719	3306
588	4727	3298
589	4732	3288
590	4738	3279
591	4745	3270
592	4751	3261
593	4759	3253
594	4768	3245
595	4779	3239
596	4789	3233
597	4797	3225
598	4806	3217
599	4815	3210
600	4824	3203
601	4832	3194
602	4840	3187
603	4848	3178
604	4855	3170
605	4862	3161
606	4868	3152
607	4875	3143
608	4882	3134
609	4889	3126
610	4896	3117
611	4903	3108
612	4909	3099
613	4915	3090
614	4922	3081
615	4928	3072
616	4934	3062
617	4940	3053
618	4948	3045
619	4954	3036
620	4960	3027
621	4966	3018
622	4972	3008
623	4978	2999
624	4984	2990
625	4990	2981
626	4996	2972
627	5002	2963
628	5007	2953
629	5013	2944
630	5019	2935
631	5024	2925
632	5031	2917
633	5037	2908
634	5043	2899
635	5051	2891
636	5057	2882
637	5063	2873
638	5069	2863
639	5075	2854
640	5081	2846
641	5087	2837
642	5093	2828
643	5099	2819
644	5105	2810
645	5113	2801
646	5118	2792
647	5123	2783
648	5129	2774
649	5135	2765
650	5141	2756
651	5147	2747
652	5152	2737
653	5158	2729
654	5164	2720
655	5170	2711
656	5176	2702
657	5182	2693
658	5188	2684
659	5195	2676
660	5201	2667
661	5207	2659
662	5214	2650
663	5220	2641
664	5228	2633
665	5235	2625
666	5242	2617
667	5249	2608
668	5255	2600
669	5262	2591
670	5268	2583
671	5276	2575
672	5283	2567
673	5291	2559
674	5298	2551
675	5305	2542
676	5312	2534
677	5319	2526
678	5325	2517
679	5333	2509
680	5340	2501
681	5348	2493
682	5355	2485
683	5363	2477
684	5369	2469
685	5375	2460
686	5382	2452
687	5388	2443
688	5394	2435
689	5400	2426
690	5407	2417
691	5412	2409
692	5418	2400
693	5424	2391
694	5431	2383
695	5439	2376
696	5447	2368
697	5457	2361
698	5465	2353
699	5475	2346
700	5484	2339
701	5497	2333
702	5505	2325
703	5513	2318
704	5521	2310
705	5527	2301
706	5533	2293
